repo_layer,upstream_block,epsilon,median_exact_column_norm,exact_frobenius,fd_frobenius,reduced_linear_excursion,preceding_layer_rms_proxy,excursion_over_proxy,fd_over_exact_norm,basis
1,0,101.567939453125,272.91527699828487,18416.83986936708,3410.392373085757,27719.442329994636,77938.59105342218,0.3556574728300469,0.18517793482899844,derived-from-device-record
2,1,108.12462890625,219.5762645645064,15317.103193412197,3270.251757948669,23741.602122657827,77938.59105342218,0.30461933942819674,0.2135032790896902,derived-from-device-record
3,2,139.979990234375,185.01765452963096,13072.498632529108,2295.05083504534,25898.76947424471,77938.59105342218,0.33229712167227493,0.17556328744486713,derived-from-device-record
4,3,142.251630859375,151.8536084076799,10630.527489589176,2305.1001231628193,21601.423447873367,77938.59105342218,0.2771595323434433,0.21683779336634793,derived-from-device-record
5,4,283.35013671875,139.39364893687076,9832.538328353514,1285.3712585912283,39497.20948398777,77938.59105342218,0.5067734603633626,0.13072629016707502,derived-from-device-record
6,5,349.55359375,111.5597990322324,8217.266232842981,1053.99794829537,38996.12866974461,77938.59105342218,0.5003442857084128,0.12826625284242632,derived-from-device-record
7,6,395.45761718750003,77.69048887273354,5587.941858994581,1037.3946386515618,30723.29560774319,77938.59105342218,0.3941987556162548,0.18564878891531927,derived-from-device-record
8,7,528.959453125,54.108517709558896,3617.771513297618,735.9722027711664,28621.21193705265,77938.59105342218,0.36722773083535143,0.20343247219068397,derived-from-device-record
9,8,769.13609375,42.13930017675651,2750.5878334669296,515.9241993301739,32410.856731309184,77938.59105342218,0.41585120148109306,0.1875687055155357,derived-from-device-record
10,9,925.345859375,29.427628776825394,1790.624660787997,439.5876597617938,27230.734439859974,77938.59105342218,0.34938705039195483,0.24549402752464342,derived-from-device-record
11,10,1406.00140625,19.461916903773755,1204.1776551927749,314.40127862014157,27363.482535026546,77938.59105342218,0.3510902899985777,0.2610921048603992,derived-from-device-record
12,11,1807.92390625,12.084045138380834,724.7940465276412,244.22602583445698,21847.0340898828,77938.59105342218,0.2803108677562311,0.3369592051762846,derived-from-device-record
13,12,2002.1976562500001,10.694120622531226,654.3103935477812,209.0615628634653,21411.743246086815,77938.59105342218,0.2747258188361445,0.31951435423469016,derived-from-device-record
14,13,2148.4146875,8.764171914738824,550.0162916986477,209.37880006648476,18829.07566539989,77938.59105342218,0.24158860727279124,0.3806774512439402,derived-from-device-record
15,14,2360.43625,7.70186735417323,506.2082593780081,205.29337247784395,18179.766895482084,77938.59105342218,0.23325757689179877,0.4055512107409972,derived-from-device-record
16,15,2627.25875,5.875585652482975,414.18448554775244,189.73766403128266,15436.683816860355,77938.59105342218,0.1980621359485373,0.4580993993059822,derived-from-device-record
17,16,3011.375,4.800855226374412,367.4599024359874,175.0794937501262,14457.175407323244,77938.59105342218,0.18549444135336918,0.47645877166319006,derived-from-device-record
18,17,3178.854375,3.4247974616822106,301.3654041817493,151.07519061433308,10886.932394557389,77938.59105342218,0.13968603034015661,0.5013023675511928,derived-from-device-record
19,18,3327.3093750000003,3.0036392925408486,276.611422996834,145.07462161525166,9994.037177189533,77938.59105342218,0.12822963620601285,0.524470826415987,derived-from-device-record
20,19,3509.9353125000002,2.6455642077839947,256.8132291098965,135.97973164746728,9285.759234387131,77938.59105342218,0.11914199511282295,0.5294888122343507,derived-from-device-record
21,20,3662.8296875,2.29794885968127,243.0715678106883,131.05718321043096,8416.995303597329,77938.59105342218,0.1079952202090488,0.5391711765832785,derived-from-device-record
22,21,3851.0593750000003,1.9983184066547137,225.24497047427946,125.96659719187487,7695.642834182699,77938.59105342218,0.09873982490789193,0.5592426633395523,derived-from-device-record
23,22,4111.6196875000005,1.9867298320951639,224.6707798445572,118.69741509878489,8168.677491386046,77938.59105342218,0.10480915013958764,0.5283171010529628,derived-from-device-record
24,23,4138.290625,1.6611199809097221,194.1220340722551,108.90918925622911,6874.197243998881,77938.59105342218,0.08820017338120772,0.5610346593405852,derived-from-device-record
25,24,4343.8228125000005,1.5760852212097833,183.62363284453647,102.76899025338192,6846.234938335167,77938.59105342218,0.08784139982261788,0.5596719151090452,derived-from-device-record
26,25,4681.2265625,1.4965563340462342,177.31588446548383,94.91201445145451,7005.719263214854,77938.59105342218,0.08988768168021999,0.5352707950422231,derived-from-device-record
27,26,5122.1140625,1.41085094783369,169.86877040300436,87.98770185600249,7226.539479990397,77938.59105342218,0.09272094070878241,0.5179745614644556,derived-from-device-record
28,27,5640.636875,1.3636086358770276,163.98356964187772,81.52855777371147,7691.621154596411,77938.59105342218,0.09868822428832812,0.49717516182725485,derived-from-device-record
29,28,6635.25125,1.331348062995919,167.4388041871306,76.03830841058574,8833.82889917875,77938.59105342218,0.11334345129646617,0.45412596428725616,derived-from-device-record
30,29,6952.855625,1.2677114757808599,132.86703314113132,71.51023531629929,8814.214865260003,77938.59105342218,0.11309179119261205,0.5382090171332503,derived-from-device-record
31,30,7504.82,1.2126579741852077,107.82427567226311,67.57608630329942,9100.77981782463,77938.59105342218,0.11676859556758727,0.6267242314587864,derived-from-device-record
32,31,7693.88,1.183557178976772,105.16044277437364,64.94688453834816,9106.146908185807,77938.59105342218,0.11683745863386337,0.6175980513670388,derived-from-device-record
33,32,8817.745,1.089302125885406,77.3699939367796,58.48389122065175,9605.188374015412,77938.59105342218,0.12324046719591887,0.7558988729977152,derived-from-device-record
