n_done,prompt_idx,seq_len,n_valid_positions,elapsed_s,identity_distance,mean_rel_change
1,0,128,111,4.005,1.007534,nan
2,1,128,111,3.497,0.902474,0.56428621
3,2,128,111,3.202,0.888474,0.28951551
4,3,128,111,3.211,0.892958,0.23865652
5,4,128,111,3.207,0.894617,0.17736603
6,5,128,111,3.190,0.882266,0.15900263
7,6,128,111,3.098,0.876965,0.11195528
8,7,128,111,3.314,0.884893,0.10965121
9,8,128,111,3.507,0.879602,0.09992602
10,9,128,111,3.125,0.880984,0.10460916
11,10,128,111,3.103,0.897169,0.12542149
12,11,128,111,3.102,0.903197,0.09883252
13,12,128,111,3.100,0.904205,0.07215103
14,13,128,111,3.207,0.904014,0.09400140
15,14,128,111,3.198,0.914216,0.08231661
16,15,128,111,3.292,0.916795,0.05928269
17,16,128,111,3.388,0.914737,0.06187293
18,17,128,111,4.293,0.917071,0.05379169
19,18,128,111,3.282,0.918320,0.05356839
20,19,128,111,3.202,0.919480,0.07029951
21,20,128,111,3.178,0.922166,0.04119769
22,21,128,111,3.104,0.921095,0.03963185
23,22,128,111,3.209,0.923839,0.04976190
24,23,128,111,3.401,0.923687,0.04583474
25,24,128,111,3.701,0.919720,0.04123958
26,25,128,111,3.209,0.918293,0.03465522
27,26,128,111,3.719,0.921468,0.04003486
28,27,128,111,3.402,0.924897,0.04527594
29,28,128,111,3.193,0.928532,0.04889957
30,29,128,111,3.108,0.929841,0.03284084
31,30,128,111,3.195,0.932362,0.03649830
32,31,128,111,3.097,0.936570,0.04396027
33,32,128,111,3.107,0.937414,0.04331585
34,33,128,111,3.304,0.937660,0.03517756
35,34,128,111,3.206,0.940409,0.03515087
36,35,128,111,3.220,0.943637,0.03227810
37,36,128,111,3.208,0.944014,0.03059916
38,37,128,111,3.333,0.944980,0.02546670
39,38,128,111,3.499,0.946278,0.02706080
40,39,128,111,3.506,0.944525,0.02837670
41,40,128,111,3.370,0.945899,0.03237949
42,41,128,111,3.201,0.949536,0.03263621
43,42,128,111,3.013,0.951704,0.03216030
44,43,128,111,3.118,0.952362,0.02705543
45,44,128,111,3.103,0.949517,0.02311675
46,45,128,111,3.205,0.946920,0.02364695
47,46,128,111,3.286,0.947289,0.02224003
48,47,128,111,3.214,0.946867,0.02143242
49,48,128,111,3.200,0.946804,0.02415936
50,49,128,111,3.193,0.946548,0.02434639
51,50,128,111,3.189,0.945014,0.02324702
52,51,128,111,3.196,0.946089,0.02584804
53,52,128,111,3.498,0.946681,0.02267220
54,53,128,111,4.202,0.946640,0.02738923
55,54,128,111,3.308,0.950109,0.03643253
56,55,128,111,3.286,0.951438,0.04480774
57,56,128,111,3.195,0.951062,0.01979511
58,57,128,111,3.597,0.952645,0.02334096
59,58,128,111,4.225,0.954391,0.02513094
60,59,128,111,3.290,0.955815,0.02469497
61,60,128,111,3.287,0.956032,0.01414070
62,61,128,111,3.193,0.956110,0.01730315
63,62,128,111,3.193,0.956265,0.01671512
64,63,128,111,3.199,0.955818,0.01767034
65,64,128,111,3.280,0.956526,0.01473364
66,65,128,111,3.200,0.956776,0.02335847
67,66,128,111,3.112,0.957619,0.01852950
68,67,128,111,3.115,0.957245,0.01864786
69,68,128,111,3.223,0.959758,0.01813911
70,69,128,111,3.217,0.960492,0.01474155
71,70,128,111,3.104,0.961084,0.01510162
72,71,128,111,3.316,0.961104,0.01407320
73,72,128,111,3.108,0.961818,0.01890892
74,73,128,111,3.223,0.966544,0.02533220
75,74,128,111,3.505,0.967404,0.01549220
76,75,128,111,4.601,0.967074,0.01415616
77,76,128,111,4.009,0.966223,0.01211660
78,77,128,111,3.199,0.965142,0.01767884
79,78,128,111,3.196,0.963787,0.01303534
80,79,128,111,3.399,0.963599,0.01405346
81,80,128,111,3.096,0.963365,0.01638443
82,81,128,111,3.099,0.962423,0.01259677
83,82,128,111,3.100,0.961596,0.01251303
84,83,128,111,3.091,0.961173,0.01630369
85,84,128,111,3.113,0.960111,0.01136322
86,85,128,111,3.212,0.959536,0.01226159
87,86,128,111,3.115,0.958423,0.01111074
88,87,128,111,3.178,0.958200,0.01123879
89,88,128,111,3.110,0.957390,0.01190972
90,89,128,111,3.122,0.957235,0.01223844
91,90,128,111,3.121,0.956765,0.01166365
92,91,128,111,3.108,0.955687,0.00933087
93,92,128,111,3.124,0.954855,0.00959873
94,93,128,111,3.195,0.954253,0.01135666
95,94,128,111,3.105,0.953785,0.01076566
96,95,128,111,3.187,0.953129,0.01063712
97,96,128,111,3.109,0.952189,0.01039793
98,97,128,111,3.092,0.951922,0.00879764
99,98,128,111,3.114,0.951370,0.00895976
100,99,128,111,3.137,0.950836,0.00809326
101,100,128,111,3.104,0.950056,0.00762733
102,101,128,111,3.195,0.949835,0.00905508
103,102,128,111,3.196,0.949454,0.00894177
104,103,128,111,3.111,0.948727,0.00966942
105,104,128,111,3.099,0.947965,0.00895310
106,105,128,111,3.105,0.948313,0.01203136
107,106,128,111,3.211,0.948038,0.00930921
108,107,128,111,3.114,0.948550,0.01135332
109,108,128,111,3.100,0.948000,0.01012301
110,109,128,111,3.139,0.948286,0.01163221
111,110,128,111,3.202,0.948400,0.01045767
112,111,128,111,3.090,0.948501,0.01107696
113,112,128,111,3.106,0.947884,0.00854205
114,113,128,111,3.093,0.947921,0.01127444
115,114,128,111,3.111,0.947882,0.01113469
116,115,128,111,3.125,0.948427,0.01166718
117,116,128,111,3.198,0.949076,0.00913175
118,117,128,111,3.106,0.949194,0.00961738
119,118,128,111,3.099,0.948459,0.00744499
120,119,128,111,3.095,0.948955,0.00791251
121,120,128,111,3.100,0.949011,0.00821056
122,121,128,111,3.109,0.949402,0.01017988
123,122,128,111,3.089,0.949400,0.00899066
124,123,128,111,3.190,0.949936,0.01042862
125,124,128,111,3.115,0.949531,0.00792699
126,125,128,111,3.091,0.948783,0.00965515
127,126,128,111,3.099,0.947824,0.00803772
128,127,128,111,3.304,0.947382,0.00911026
129,128,128,111,3.115,0.948124,0.01044780
130,129,128,111,3.105,0.948572,0.00949722
131,130,128,111,3.194,0.948693,0.00911336
132,131,128,111,3.111,0.948909,0.00789757
133,132,128,111,3.096,0.949378,0.01004319
134,133,128,111,3.111,0.949385,0.00907994
135,134,128,111,3.127,0.949674,0.00860627
136,135,128,111,3.095,0.949604,0.00834642
137,136,128,111,3.097,0.949229,0.00735404
138,137,128,111,3.298,0.948924,0.00832285
139,138,128,111,3.112,0.948948,0.00642110
140,139,128,111,4.295,0.949060,0.00766703
141,140,128,111,3.313,0.949175,0.00703232
142,141,128,111,3.290,0.948853,0.00706712
143,142,128,111,3.092,0.949437,0.00942511
144,143,128,111,3.100,0.949376,0.00679111
145,144,128,111,3.105,0.949493,0.00895574
146,145,128,111,3.100,0.949512,0.00743849
147,146,128,111,3.099,0.949871,0.00974164
148,147,128,111,3.314,0.949555,0.00885427
149,148,128,111,3.168,0.949934,0.00698951
150,149,128,111,3.301,0.950321,0.00847564
151,150,128,111,4.002,0.950276,0.00890373
152,151,128,111,3.205,0.949715,0.00653529
153,152,128,111,3.105,0.949002,0.00603184
154,153,128,111,3.092,0.948958,0.00731205
155,154,128,111,3.103,0.948465,0.00594453
156,155,128,111,3.018,0.948298,0.00743661
157,156,128,111,3.113,0.948365,0.00675377
158,157,128,111,3.099,0.947939,0.00569432
159,158,128,111,3.105,0.948002,0.00685179
160,159,128,111,3.097,0.947615,0.00653686
161,160,128,111,3.205,0.947275,0.00657115
162,161,128,111,3.111,0.947188,0.00596221
163,162,128,111,3.101,0.946970,0.00724350
164,163,128,111,3.094,0.946213,0.00534892
165,164,128,111,3.101,0.946635,0.00831281
166,165,128,111,3.107,0.946838,0.00803822
167,166,128,111,3.096,0.946522,0.00585258
168,167,128,111,3.100,0.946408,0.00679791
169,168,128,111,3.206,0.946408,0.00651658
170,169,128,111,3.096,0.945942,0.00647914
171,170,128,111,3.102,0.945711,0.00683974
172,171,128,111,3.100,0.945362,0.00537756
173,172,128,111,3.097,0.944921,0.00554404
174,173,128,111,3.108,0.944322,0.00511747
175,174,128,111,3.098,0.943842,0.00567823
176,175,128,111,3.097,0.943311,0.00673449
177,176,128,111,3.106,0.943889,0.00918402
178,177,128,111,3.094,0.944337,0.00626491
179,178,128,111,3.098,0.944879,0.00812551
180,179,128,111,3.103,0.945151,0.00674259
181,180,128,111,3.099,0.945346,0.00625791
182,181,128,111,3.102,0.945594,0.00579362
183,182,128,111,3.104,0.946022,0.00682621
184,183,128,111,3.102,0.946276,0.00595233
185,184,128,111,3.199,0.946467,0.00691875
186,185,128,111,3.104,0.946606,0.00529684
187,186,128,111,3.106,0.946901,0.00511453
188,187,128,111,3.090,0.947550,0.00744759
189,188,128,111,3.110,0.948070,0.00718853
190,189,128,111,3.008,0.948809,0.00759496
191,190,128,111,3.112,0.948398,0.00512405
192,191,128,111,3.105,0.948607,0.00794089
193,192,128,111,3.101,0.948864,0.01269219
194,193,128,111,3.195,0.949078,0.00529788
195,194,128,111,3.104,0.949427,0.00666751
196,195,128,111,3.099,0.949623,0.00843736
197,196,128,111,3.104,0.950202,0.00577115
198,197,128,111,3.101,0.950356,0.00572875
199,198,128,111,3.102,0.950162,0.00508428
200,199,128,111,3.100,0.950524,0.00897036
201,200,128,111,3.100,0.951185,0.00803264
202,201,128,111,3.103,0.950946,0.01132932
203,202,128,111,3.100,0.950954,0.00670777
204,203,128,111,3.109,0.951242,0.00743933
205,204,128,111,3.190,0.951410,0.00667491
206,205,128,111,3.111,0.951604,0.00525187
207,206,128,111,3.098,0.951402,0.00581606
208,207,128,111,3.097,0.951560,0.00539222
209,208,128,111,3.103,0.951718,0.00776051
210,209,128,111,3.102,0.951826,0.00538812
211,210,128,111,3.096,0.951471,0.00627027
212,211,128,111,3.099,0.951179,0.00642545
213,212,128,111,3.204,0.950806,0.00570582
214,213,128,111,3.104,0.950526,0.00541404
215,214,128,111,3.099,0.950483,0.00503947
216,215,128,111,3.105,0.950202,0.00545717
217,216,128,111,3.099,0.949942,0.00450375
218,217,128,111,3.098,0.949844,0.00498140
219,218,128,111,3.111,0.949208,0.00612613
220,219,128,111,3.092,0.949146,0.00443730
221,220,128,111,3.200,0.949233,0.00452449
222,221,128,111,3.196,0.949408,0.00449014
223,222,128,111,3.199,0.949655,0.00563722
224,223,128,111,3.280,0.949490,0.00567435
225,224,128,111,3.290,0.949591,0.00525001
226,225,128,111,3.189,0.949317,0.00737017
227,226,128,111,3.195,0.949551,0.00564513
228,227,128,111,3.093,0.949531,0.00399760
229,228,128,111,3.106,0.949504,0.00517968
230,229,128,111,3.094,0.949382,0.00498119
231,230,128,111,3.104,0.949268,0.00429303
232,231,128,111,3.111,0.949199,0.00425462
233,232,128,111,3.123,0.949056,0.00488156
234,233,128,111,3.106,0.948992,0.00462143
235,234,128,111,3.103,0.949140,0.00467995
236,235,128,111,3.101,0.949292,0.00376786
237,236,128,111,3.101,0.949047,0.00364419
238,237,128,111,3.096,0.948945,0.00427081
239,238,128,111,3.103,0.948723,0.00423244
240,239,128,111,3.106,0.948867,0.00365359
241,240,128,111,3.087,0.948531,0.00340375
242,241,128,111,3.112,0.948807,0.00503199
243,242,128,111,3.144,0.948571,0.00399249
244,243,128,111,3.090,0.948890,0.00638967
245,244,128,111,3.101,0.948706,0.00529583
246,245,128,111,3.100,0.948303,0.00393936
247,246,128,111,3.113,0.948194,0.00437543
248,247,128,111,3.115,0.948000,0.00614013
249,248,128,111,3.103,0.947740,0.00440878
250,249,128,111,3.108,0.947325,0.00492465
251,250,128,111,3.091,0.947325,0.00601242
252,251,128,111,3.108,0.947287,0.00407070
253,252,128,111,4.031,0.947060,0.00671973
254,253,128,111,3.129,0.946879,0.00491888
255,254,128,111,3.204,0.947511,0.00506572
256,255,128,111,3.108,0.947877,0.00554025
257,256,128,111,3.094,0.948387,0.00530588
258,257,128,111,3.144,0.948547,0.00504961
259,258,128,111,3.195,0.949366,0.00839729
260,259,128,111,3.503,0.949893,0.00541166
261,260,128,111,3.210,0.950359,0.00417194
262,261,128,111,4.399,0.950748,0.00510706
263,262,128,111,3.394,0.951014,0.00529513
264,263,128,111,3.206,0.951158,0.00464844
265,264,128,111,3.197,0.951588,0.00643640
266,265,128,111,3.199,0.952274,0.00553084
267,266,128,111,3.211,0.952620,0.00483003
268,267,128,111,3.086,0.953143,0.00584463
269,268,128,111,3.103,0.953347,0.00440697
270,269,128,111,3.093,0.953537,0.00392123
271,270,128,111,3.106,0.953677,0.00468969
272,271,128,111,3.096,0.953965,0.00484093
273,272,128,111,3.111,0.953994,0.00407935
274,273,128,111,3.195,0.954166,0.00432194
275,274,128,111,3.113,0.954478,0.00511142
276,275,128,111,3.110,0.954484,0.00368865
277,276,128,111,3.195,0.954672,0.00516742
278,277,128,111,3.101,0.954693,0.00466447
279,278,128,111,3.108,0.954489,0.00335066
280,279,128,111,3.118,0.954300,0.00392294
281,280,128,111,3.101,0.954205,0.00423359
282,281,128,111,3.102,0.954268,0.00387006
283,282,128,111,3.101,0.953844,0.00355282
284,283,128,111,3.104,0.953749,0.00426980
285,284,128,111,3.099,0.953758,0.00312744
286,285,128,111,3.107,0.953609,0.00455389
287,286,128,111,3.193,0.953810,0.00443250
288,287,128,111,3.112,0.953454,0.00311967
289,288,128,111,3.091,0.953375,0.00382391
290,289,128,111,3.101,0.953207,0.00365680
291,290,128,111,3.104,0.953851,0.00617445
292,291,128,111,3.110,0.953475,0.00377632
293,292,128,111,3.117,0.953622,0.00349319
294,293,128,111,3.195,0.953695,0.00362924
295,294,128,111,3.105,0.953882,0.00391906
296,295,128,111,3.091,0.954282,0.00426832
297,296,128,111,3.103,0.954318,0.00335089
298,297,128,111,3.206,0.954279,0.00299995
299,298,128,111,3.097,0.954910,0.00571608
300,299,128,111,3.103,0.954810,0.00398286
301,300,128,111,3.099,0.954800,0.00403709
302,301,128,111,3.106,0.954776,0.00337853
303,302,128,111,3.093,0.954476,0.00423321
304,303,128,111,3.103,0.954569,0.00407728
305,304,128,111,3.104,0.954488,0.00381259
306,305,128,111,3.102,0.954786,0.00520170
307,306,128,111,3.109,0.954959,0.00502594
308,307,128,111,3.093,0.955294,0.00454152
309,308,128,111,3.103,0.955400,0.00480665
310,309,128,111,3.105,0.955587,0.00419666
311,310,128,111,3.099,0.955617,0.00491945
312,311,128,111,3.110,0.955742,0.00385967
313,312,128,111,3.114,0.955857,0.00398918
314,313,128,111,3.099,0.955993,0.00393899
315,314,128,111,3.197,0.956382,0.00377607
316,315,128,111,3.336,0.956277,0.00669094
317,316,128,111,3.097,0.956421,0.00470914
318,317,128,111,3.108,0.956397,0.00490012
319,318,128,111,3.096,0.956359,0.00387721
320,319,128,111,4.198,0.956008,0.00269488
321,320,128,111,3.109,0.955627,0.00280800
322,321,128,111,3.103,0.955420,0.00297440
323,322,128,111,3.102,0.955189,0.00303460
324,323,128,111,3.095,0.955141,0.00300702
325,324,128,111,3.102,0.955372,0.00373431
326,325,128,111,3.103,0.955322,0.00309545
327,326,128,111,3.102,0.955096,0.00329043
328,327,128,111,3.106,0.954694,0.00282117
329,328,128,111,3.099,0.954729,0.00371076
330,329,128,111,3.102,0.954439,0.00337585
331,330,128,111,3.101,0.954273,0.00273006
332,331,128,111,3.102,0.954116,0.00230048
333,332,128,111,3.102,0.954039,0.00330237
334,333,128,111,3.172,0.953847,0.00256258
335,334,128,111,3.123,0.953791,0.00289466
336,335,128,111,3.117,0.953633,0.00300611
337,336,128,111,3.105,0.953415,0.00253551
338,337,128,111,3.102,0.954019,0.00632555
339,338,128,111,3.099,0.954179,0.00509962
340,339,128,111,3.097,0.954142,0.00316279
341,340,128,111,3.104,0.954769,0.00549943
342,341,128,111,3.105,0.955101,0.00369461
343,342,128,111,3.104,0.955514,0.00406000
344,343,128,111,3.196,0.955777,0.00323450
345,344,128,111,3.100,0.955843,0.00334870
346,345,128,111,3.091,0.956093,0.00324064
347,346,128,111,3.102,0.956568,0.00765731
348,347,128,111,3.101,0.956459,0.00210147
349,348,128,111,3.106,0.956440,0.00356090
350,349,128,111,3.102,0.956273,0.00381766
351,350,128,111,3.095,0.956466,0.00345858
352,351,128,111,3.101,0.956423,0.00346410
353,352,128,111,3.100,0.956731,0.00379248
354,353,128,111,3.113,0.956872,0.00379595
355,354,128,111,3.110,0.956593,0.00298101
356,355,128,111,3.102,0.956580,0.00288735
357,356,128,111,3.104,0.956522,0.00299766
358,357,128,111,3.102,0.956573,0.00328082
359,358,128,111,3.094,0.956717,0.00358686
360,359,128,111,3.104,0.956683,0.00353152
361,360,128,111,3.104,0.957055,0.00470552
362,361,128,111,3.107,0.956970,0.00408496
363,362,128,111,3.093,0.956850,0.00297935
364,363,128,111,3.100,0.956978,0.00359135
365,364,128,111,3.104,0.957187,0.00366906
366,365,128,111,3.110,0.957192,0.00324031
367,366,128,111,3.097,0.957091,0.00313368
368,367,128,111,3.098,0.957180,0.00267903
369,368,128,111,3.207,0.957386,0.00304109
370,369,128,111,3.100,0.957500,0.00299456
371,370,128,111,3.098,0.957599,0.00472246
372,371,128,111,3.102,0.957403,0.00225554
373,372,128,111,3.121,0.957558,0.00320848
374,373,128,111,3.106,0.957687,0.00412794
375,374,128,111,3.195,0.957606,0.00287756
376,375,128,111,3.107,0.957718,0.00335386
377,376,128,111,3.203,0.957574,0.00337040
378,377,128,111,3.096,0.957375,0.00226714
379,378,128,111,3.204,0.957189,0.00227988
380,379,128,111,3.301,0.957209,0.00241803
381,380,128,111,3.112,0.957118,0.00233256
382,381,128,111,3.093,0.957196,0.00452209
383,382,128,111,3.105,0.957202,0.00377485
384,383,128,111,3.211,0.957468,0.00430611
385,384,128,111,3.113,0.957405,0.00327863
386,385,128,111,3.101,0.957499,0.00329938
387,386,128,111,3.101,0.957386,0.00303478
388,387,128,111,3.111,0.957709,0.00398946
389,388,128,111,3.095,0.958060,0.00375894
390,389,128,111,3.212,0.958469,0.00470854
391,390,128,111,3.420,0.958688,0.00624277
392,391,128,111,3.498,0.958724,0.00271076
393,392,128,111,3.511,0.958838,0.00394722
394,393,128,111,3.196,0.959036,0.00376602
395,394,128,111,3.197,0.959197,0.00308168
396,395,128,111,3.106,0.959409,0.00363548
397,396,128,111,3.099,0.959404,0.00272690
398,397,128,111,3.101,0.959459,0.00318899
