episode,port_device,reference_precision,port_precision,compared,agreed,disagreed,disagreement_percent,reference_confident_positions,reference_confidence_gated_flips,measurement_basis,confidence_basis,source_file
agentic-d2-aggregate_report-0167,cuda,MLX 4-bit,bf16,506,481,25,4.940711462450593,393,4,device report; measured-here,laptop-basis; recorded MLX probability,cuda-all15.json
agentic-d2-aggregate_report-0167,cpu,MLX 4-bit,bf16,506,480,26,5.138339920948616,393,4,device report; measured-here,laptop-basis; recorded MLX probability,cpu-all15.json
agentic-d2-batch_update-0166,cuda,MLX 4-bit,bf16,459,444,15,3.2679738562091503,409,2,device report; measured-here,laptop-basis; recorded MLX probability,cuda-all15.json
agentic-d2-batch_update-0166,cpu,MLX 4-bit,bf16,459,444,15,3.2679738562091503,409,2,device report; measured-here,laptop-basis; recorded MLX probability,cpu-all15.json
agentic-d2-calculate-0158,cuda,MLX 4-bit,bf16,103,97,6,5.825242718446602,78,0,device report; measured-here,laptop-basis; recorded MLX probability,cuda-all15.json
agentic-d2-calculate-0158,cpu,MLX 4-bit,bf16,103,98,5,4.854368932038835,78,0,device report; measured-here,laptop-basis; recorded MLX probability,cpu-all15.json
agentic-d2-conditional_update-0093,cuda,MLX 4-bit,bf16,279,270,9,3.225806451612903,222,1,device report; measured-here,laptop-basis; recorded MLX probability,cuda-all15.json
agentic-d2-conditional_update-0093,cpu,MLX 4-bit,bf16,279,269,10,3.5842293906810037,222,1,device report; measured-here,laptop-basis; recorded MLX probability,cpu-all15.json
agentic-d2-cross_reference-0032,cuda,MLX 4-bit,bf16,543,531,12,2.2099447513812156,475,0,device report; measured-here,laptop-basis; recorded MLX probability,cuda-all15.json
agentic-d2-cross_reference-0032,cpu,MLX 4-bit,bf16,543,532,11,2.0257826887661143,475,0,device report; measured-here,laptop-basis; recorded MLX probability,cpu-all15.json
agentic-d2-ledger_reconcile-0163,cuda,MLX 4-bit,bf16,567,535,32,5.64373897707231,419,3,device report; measured-here,laptop-basis; recorded MLX probability,cuda-all15.json
agentic-d2-ledger_reconcile-0163,cpu,MLX 4-bit,bf16,567,536,31,5.467372134038801,419,3,device report; measured-here,laptop-basis; recorded MLX probability,cpu-all15.json
agentic-d2-list-0149,cuda,MLX 4-bit,bf16,228,216,12,5.2631578947368425,178,2,device report; measured-here,laptop-basis; recorded MLX probability,cuda-all15.json
agentic-d2-list-0149,cpu,MLX 4-bit,bf16,228,217,11,4.824561403508772,178,1,device report; measured-here,laptop-basis; recorded MLX probability,cpu-all15.json
agentic-d2-pointer_chain-0018,cuda,MLX 4-bit,bf16,482,470,12,2.4896265560165975,442,2,device report; measured-here,laptop-basis; recorded MLX probability,cuda-all15.json
agentic-d2-pointer_chain-0018,cpu,MLX 4-bit,bf16,482,470,12,2.4896265560165975,442,2,device report; measured-here,laptop-basis; recorded MLX probability,cpu-all15.json
agentic-d2-read-0108,cuda,MLX 4-bit,bf16,172,166,6,3.488372093023256,140,2,device report; measured-here,laptop-basis; recorded MLX probability,cuda-all15.json
agentic-d2-read-0108,cpu,MLX 4-bit,bf16,172,164,8,4.651162790697675,140,3,device report; measured-here,laptop-basis; recorded MLX probability,cpu-all15.json
agentic-d2-search-0061,cuda,MLX 4-bit,bf16,237,220,17,7.172995780590718,171,0,device report; measured-here,laptop-basis; recorded MLX probability,cuda-all15.json
agentic-d2-search-0061,cpu,MLX 4-bit,bf16,237,220,17,7.172995780590718,171,0,device report; measured-here,laptop-basis; recorded MLX probability,cpu-all15.json
agentic-d2-synthesis-0039,cuda,MLX 4-bit,bf16,175,166,9,5.142857142857143,134,0,device report; measured-here,laptop-basis; recorded MLX probability,cuda-all15.json
agentic-d2-synthesis-0039,cpu,MLX 4-bit,bf16,175,164,11,6.285714285714286,134,0,device report; measured-here,laptop-basis; recorded MLX probability,cpu-all15.json
agentic-d2-update-0028,cuda,MLX 4-bit,bf16,1050,1027,23,2.1904761904761907,889,3,device report; measured-here,laptop-basis; recorded MLX probability,cuda-all15.json
agentic-d2-update-0028,cpu,MLX 4-bit,bf16,1050,1026,24,2.2857142857142856,889,3,device report; measured-here,laptop-basis; recorded MLX probability,cpu-all15.json
chat-long-summary,cuda,MLX 4-bit,bf16,196,157,39,19.897959183673468,87,2,device report; measured-here,laptop-basis; recorded MLX probability,cuda-all15.json
chat-long-summary,cpu,MLX 4-bit,bf16,196,159,37,18.877551020408163,87,2,device report; measured-here,laptop-basis; recorded MLX probability,cpu-all15.json
chat-reasoning,cuda,MLX 4-bit,bf16,139,131,8,5.755395683453237,95,0,device report; measured-here,laptop-basis; recorded MLX probability,cuda-all15.json
chat-reasoning,cpu,MLX 4-bit,bf16,139,131,8,5.755395683453237,95,0,device report; measured-here,laptop-basis; recorded MLX probability,cpu-all15.json
chat-short-factual,cuda,MLX 4-bit,bf16,109,88,21,19.26605504587156,67,3,device report; measured-here,laptop-basis; recorded MLX probability,cuda-all15.json
chat-short-factual,cpu,MLX 4-bit,bf16,109,88,21,19.26605504587156,67,3,device report; measured-here,laptop-basis; recorded MLX probability,cpu-all15.json
