episode,turn,position,recorded_token,produced_token,recorded_probability,mlx_bf16_token,bf16_cuda_agrees,source_verdict,reference_gap,reference_gap_ulps,reference_within_2_ulp,outcome_basis,probability_basis,gap_basis
agentic-d2-batch_update-0166,1,735,2818,107,0.9999998807907104,107,True,quantisation,3.75,15.0,False,card CUDA bf16 joined to laptop MLX bf16,original laptop MLX 4-bit reference,later laptop MLX bf16 reference; actual-top1-spacing producer
agentic-d2-ledger_reconcile-0163,4,1484,15437,623,0.9999897480010986,623,True,quantisation,9.0,18.0,False,card CUDA bf16 joined to laptop MLX bf16,original laptop MLX 4-bit reference,later laptop MLX bf16 reference; actual-top1-spacing producer
agentic-d2-list-0149,0,530,2234,1399,0.9999825954437256,1399,True,quantisation,10.0,40.0,False,card CUDA bf16 joined to laptop MLX bf16,original laptop MLX 4-bit reference,later laptop MLX bf16 reference; actual-top1-spacing producer
agentic-d2-ledger_reconcile-0163,4,1489,236778,59849,0.999919056892395,59849,True,quantisation,7.0,28.0,False,card CUDA bf16 joined to laptop MLX bf16,original laptop MLX 4-bit reference,later laptop MLX bf16 reference; actual-top1-spacing producer
agentic-d2-pointer_chain-0018,0,573,127096,236786,0.9999010562896729,236786,True,quantisation,6.0,24.0,False,card CUDA bf16 joined to laptop MLX bf16,original laptop MLX 4-bit reference,later laptop MLX bf16 reference; actual-top1-spacing producer
agentic-d2-update-0028,0,556,9560,623,0.9998726844787598,9560,False,port,0.5,1.0,True,card CUDA bf16 joined to laptop MLX bf16,original laptop MLX 4-bit reference,later laptop MLX bf16 reference; actual-top1-spacing producer
agentic-d2-read-0108,0,521,2234,1399,0.9997387528419495,2234,False,port,1.5,3.0,False,card CUDA bf16 joined to laptop MLX bf16,original laptop MLX 4-bit reference,later laptop MLX bf16 reference; actual-top1-spacing producer
agentic-d2-read-0108,3,855,8123,1492,0.9995098114013672,1492,True,quantisation,0.5,2.0,True,card CUDA bf16 joined to laptop MLX bf16,original laptop MLX 4-bit reference,later laptop MLX bf16 reference; actual-top1-spacing producer
chat-short-factual,1,147,1082,1208,0.9994335770606995,1208,True,quantisation,3.0,6.0,False,card CUDA bf16 joined to laptop MLX bf16,original laptop MLX 4-bit reference,later laptop MLX bf16 reference; actual-top1-spacing producer
agentic-d2-conditional_update-0093,0,580,2717,7280,0.9991486072540283,7280,True,quantisation,1.0,4.0,False,card CUDA bf16 joined to laptop MLX bf16,original laptop MLX 4-bit reference,later laptop MLX bf16 reference; actual-top1-spacing producer
